project_id,submitter_id,project_id,associate_experiment,copy_numbers_identified,data_description,experimental_description,experimental_intent,indels_identified,marker_panel_description,number_experimental_group,number_samples_per_experimental_group,somatic_mutations_identified,type_of_data,type_of_sample,type_of_specimen,type
"{'id': 28, 'name': 'A1A'}",,A1A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 28, 'name': 'A1A'}",,A1A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 28, 'name': 'A1A'}",,A1A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 28, 'name': 'A1A'}",,A1A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 28, 'name': 'A1A'}","Hello John,

We have received Olink proteomic data for the Alpha-1 Genetic Modifiers Study (A1A).

I have downloaded these data to my analysis directory:
<pre>
/proj/regeps/regep00/studies/A1A/analyses/rebdh/olinkProteomics
</pre>

Can you please set up a new CHAMMPS compliant directory for the Olink proteomic data? I was thinking something like:
<pre>
/proj/regeps/regep00/studies/A1A/data/protein/olink
</pre>

These data would be freeze 20221220 and would be the canonical dataset. I can't figure out if the data need to be unzipped since the web tool takes the NPX zipped data as is. Maybe leave them zipped for now and I'll let you know if the Olink R package has issues.

There is also a manifest in excel format and a PDF QC report in which can be placed in the freeze directory.
<pre>
derby01<16:45:11> pwd -P
/proj/regeps/regep00/studies/A1A/analyses/rebdh/olinkProteomics
derby01<16:45:13> ls -l
total 2198
-rw-r--r--. 1 rebdh regeps   36192 Dec 20 16:44 Olink_Sample_Manifest_allPlates_corrected.xlsx
-rw-r--r--. 1 rebdh regeps  111635 Dec 20 16:43 Q-00879_Hobbs_Analysis_Report_2022-12-19.pdf
-rw-r--r--. 1 rebdh regeps 1159556 Dec 20 16:43 Q-00879_Hobbs_NPX_2022-12-19.zip
</pre>

Please let me know if you have any questions. Thank you!

Best,
Brian ",A1A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 37, 'name': 'ABRIG'}",,ABRIG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 37, 'name': 'ABRIG'}","This directory contains gene expression data measured in several disease-relevant tissues gathered from ~1,400 asthma subjects from the Asthma BioRepository for Integrative Genomic Exploration (ABRIDGE) along with extensive clinical phenotype data on each subject.  This data has been successfully processed through a quality control pipeline (QC+). 

A git repository containing the current and previous versions of all pipeline code can be found in the main directory.  This repository does *not* contain any input or output data files.

The contents of the project directories are summarized below:

* @Code/@
    Code for pipeline used to generate QC+ ABRIDGE gene expression data.  Primary driver scripts for running the pipeline have file names that start with numbers.  These scripts can be submitted to the capecod cluster queue using the ""qBR"" command.  Absolute paths are specified in each script, but should be inspected prior to usage.  The ""knitr"" sub-directory contains code for knitr documents that describe the data as it progresses along the QC pipeline. 

* @Input/@
    Pre-existing files (ABRIDGE questionnaire and ID mapping table) or ones created by ""Code/1_create_input_data.R"" necessary for running the QC pipeline.  There are a few versions of the ABRIDGE questionnaire dataset present here, but the most current version is called ""abridge_en_sp.e2_dist.csv"".

* @Logs/@
    Log files and other documentation output by the QC pipeline.  Data for particular runs are found in directories named following a ""YYYYMMDD"" date format.

* @Output/@
    PDF reports generated to describe the data as it progressed along the QC pipeline along with the final R data objects (.rda) containing the gene expression, phenotype, and principal components of gene expression data.  Data for particular runs are found in directories named following a ""YYYYMMDD"" date format. 

The two most important sub-directories are ""20130206_ForDistribution"" and ""20130206_InternalMaster"".  The former contains a subset of the data found in the latter, namely only data for subjects that gave consent for data sharing across investigators participating in ABRIDGE.  The latter folder contains the full ABRIDGE dataset that can be used for internal Channing-based analyses.  These two datasets can be considered stable and appropriate for use in downstream analyses.  Any future changes to the data should be made to a copy of the internal master dataset.

The remaining three folders with earlier dates reflect major timepoints in the development of the pipeline.  These datasets should not be used in downstream analyses and are kept for historical purposes.
",ABRIG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 37, 'name': 'ABRIG'}",,ABRIG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 37, 'name': 'ABRIG'}",,ABRIG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 37, 'name': 'ABRIG'}",/proj/regeps/regep00/studies/ABRIG/data/methylation,ABRIG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 49, 'name': 'ACRN'}",,ACRN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 49, 'name': 'ACRN'}","- GWAS QC
- Manually lifted over to hg19 in preparation for imputation",ACRN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 938, 'name': 'ADAPT'}","<pre>
Hi John,

I'm just checking in and thought I'd ask this again in case the original email got bogged down in your inbox...

Just so I can start to get a move on ADAPT, is there any way you could create a combined genotype file for
all of the ADAPT cohorts?  That way I could get started, on the actual genotype (non-imputed) data.  I'm itching
to get going!

I think you already have this list, but the ADAPT cohorts are:
CAMP
CARE
CRA
SEPRACOR
LOCCS
LODO
ACRN
MCC
RODEN

Will you let me know if you are able to do a merged genotype file for all of the cohorts so I can begin some
initial analyses?  I know you have a ton of stuff on your plate, and I'm not sure how labor intensive it is to
combine genotype files...  Will you let me know what you think?    

Joanne
</pre>",ADAPT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 938, 'name': 'ADAPT'}",,ADAPT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 938, 'name': 'ADAPT'}",,ADAPT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 1134, 'name': 'AEC_Tesfaigzi'}",,AEC_Tesfaigzi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 1134, 'name': 'AEC_Tesfaigzi'}",,AEC_Tesfaigzi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 1134, 'name': 'AEC_Tesfaigzi'}",,AEC_Tesfaigzi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 1134, 'name': 'AEC_Tesfaigzi'}",,AEC_Tesfaigzi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 1134, 'name': 'AEC_Tesfaigzi'}","```
We have new single cell RNA-seq data from Dr. Tesfaigzi's HEC-190 cohort. Could you please reach out to Conjian Liu who currently has the data, and arrange for him to provide a copy of the data to be transferred to our cluster?

The relevant parent directory is: @/proj/regeps/regep00/studies/AEC_Tesfaigzi/@

Congjian, the data to be transferred would ideally include:

- FASTQ or BAM files for each sample
- any other files provided by Broad (including QC and metadata files)

These data were generated at the Broad, so another option is to reach out to them directly for a download link, if they still have the data on their servers.
```


```
The analyses for the scRNAseq were not done at the Broad but at the Single-Cell Services within the Center for Cellular profiling at BWH.
They only keep the raw data for 2 months, so it is best to get the raw data from Congjian.
```
",AEC_Tesfaigzi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 800, 'name': 'AERD'}",,AERD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 800, 'name': 'AERD'}",,AERD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 1057, 'name': 'AGES'}","Pooja, for the $5-genome-pipeline project that you will be collaborating on, some of the data preparation can be done ahead of time.  These are the requirements specified by the developers:

* Human whole-genome paired-end sequencing data in unmapped BAM (uBAM) format
* One or more read groups, one per uBAM file, all belonging to a single sample (SM)
* Input uBAM files must additionally comply with the following requirements:
** filenames all have the same suffix (we use "".unmapped.bam"")
** files must pass validation by ValidateSamFile
** reads are provided in query-sorted order
** all reads must have an RG tag
* Reference genome must be Hg38 with ALT contigs

I think you can focus on the first item in this list for the time being.    Robert has found the following lead on converting files to ubam format: https://software.broadinstitute.org/gatk/documentation/article?id=6484

The current raw data files are:

@/proj/regeps/regep00/studies/AGES/data/dna/exome/reykjavik_exome_seq/data/raw/sysg1.cs.yale.edu\:3010/@

Output files should be placed in:

@/proj/regeps/regep00/studies/AGES/data/dna/exome/reykjavik_exome_seq/data/freezes/20190830/@

Please implement this process as a Snakemake pipeline using conda environment(s) to encapsulate dependencies.",AGES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 1057, 'name': 'AGES'}",,AGES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 817, 'name': 'BELT'}",,BELT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 982, 'name': 'BIOLIB'}",,BIOLIB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 982, 'name': 'BIOLIB'}",,BIOLIB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}","We have received lipidomic data from Edy Kim’s group for 40 samples. I will forward the data for deposit on our servers, but will also need sample information.
Attached is a photo of the sample numbers linked to the ST-ids. They never received an electronic copy of the sample manifest, so simply added it by hand. Hysterical.",CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}",,CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}",,CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}",We have been asked to impute the CAMP GWAS data against HRC on the UMich server.,CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}","<pre>
73de9b286b48d089f6c3b41428b799cd  data/raw/19_0830_TOPMed_CAMP_Asthma_Broad_C8-pos_metabolomics_v2.csv
637405f1a9ec84d759036ff915059eeb  data/raw/19_0830_TOPMed_CAMP_Asthma_Broad_C8-pos_metabolomics_v2_NONREDUNDANTonly.csv
63d66c5314b46ae5c53d2831daf7f117  data/raw/19_1203_TOPMed_CAMP_Asthma_Broad_C18-neg_metabolomics.csv
f6e46da1d33db0a9cc452ba350d1e470  data/raw/19_1203_TOPMed_CAMP_Asthma_Broad_C18-neg_metabolomics_NONREDUNDANTonly.csv
a9964038b323073805a0b158261f2c5a  data/raw/19_1203_TOPMed_CAMP_Asthma_Broad_HILIC-pos_metabolomics_v2.csv
5c0caf1910d4df26cd8491b8bb875b77  data/raw/19_1203_TOPMed_CAMP_Asthma_Broad_HILIC-pos_metabolomics_v2_NONREDUNDANTonly.csv
e3216d599e07a6246b22c43e0b73a7e3  data/raw/20_0226_TOPMed_CAMP_Asthma_BIDMC_Amide-neg_metabolomics.csv
410d5f686984fba56f3f76710fa476d2  data/raw/TOPMed_CORE_Year3_Broad-BIDMC_metabolomics_022820.docx
</pre>",CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
